"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCF7",2613.25367080107,-0.960726954515078,0.0851593345984243,-11.2815225605679,1.61918998173607e-29,2.03146066170117e-27
"EEPD1",1071.93798494831,-1.30486326813861,0.115837077626194,-11.2646425037534,1.96146369057955e-29,2.44379306060331e-27
"MAFF",856.463962324283,1.36239834588139,0.121157216567405,11.2448798716288,2.45430573850272e-29,3.03673787961913e-27
"LINC02167",85.5325374277255,3.88482905987114,0.347842423453122,11.1683589980355,5.82470175741653e-29,7.15760097464451e-27
"VEGFA",1149.01002136522,2.11332470639354,0.189404339132224,11.1577417712602,6.56376816513969e-29,8.01092276535859e-27
"GOLGA8A",1474.22929680027,1.48114963475773,0.133066734000635,11.130878396329,8.87565197327211e-29,1.07593291927348e-26
"TNIP1",5017.27235836458,1.20094638898981,0.107942619768597,11.125785084375,9.39748817823271e-29,1.13154587520586e-26
"BTG1",1096.70485198454,2.236354262335,0.201572525170854,11.0945391016928,1.33345568617731e-28,1.5949018977138e-26
"ITGA5",3380.75514332393,2.04572560028459,0.184404516503219,11.093684900331,1.34625441801588e-28,1.59954639163066e-26
"BIRC2",1504.21559784609,1.0819338264961,0.0976341617123064,11.0815088440476,1.54250917373636e-28,1.82066822934237e-26
"CDC25A",1220.52954842062,-1.04632217509677,0.0948720100372212,-11.0287762922517,2.77616706663238e-28,3.25537342107527e-26
"FER1L4",253.528292573239,2.44826909142195,0.22217555616506,11.0195249814208,3.07678425746047e-28,3.58445365994145e-26
"CDA",756.385762576341,2.01879326771126,0.183466407492794,11.0036125702769,3.67123362907614e-28,4.24939371221e-26
"NEAT1",22145.6791797885,1.25454196595511,0.114271253500782,10.9786313488416,4.8420398645595e-28,5.56865623141423e-26
"RCC1",2941.09533416631,-0.980732787212574,0.0893510510487395,-10.9761751619195,4.97546496707429e-28,5.68565713211973e-26
"UTP14A",2115.39834523189,-0.976213815916062,0.0889464115373501,-10.9753029834839,5.02371563611141e-28,5.70446090047309e-26
"PTGS1",70.9832906913705,4.86716368715565,0.444035245572952,10.9612102545495,5.87089349246882e-28,6.62450944329453e-26
"PMEPA1",1217.89678034661,1.21168295377121,0.110642978793611,10.9512864438641,6.55105325384917e-28,7.34577790170675e-26
"PRMT3",1381.11178954478,-1.24101701494998,0.113808218967255,-10.9044586253217,1.09744573576376e-27,1.22293626989674e-25
"MUC1",274.343651168586,2.91646866966117,0.267570871019326,10.8997988403996,1.15512378220372e-27,1.27926393682203e-25
"ANXA1",524.243065795131,2.3893808804733,0.219419569195439,10.8895523276917,1.29274159255151e-27,1.42288815410839e-25
"SPTBN5",415.385630906256,2.45308814088775,0.225507171307283,10.8780937061425,1.46596625017137e-27,1.60371344477588e-25
"CRYBG2",623.951316845338,1.81614513290556,0.167102034161474,10.8684800997131,1.62891780450167e-27,1.77117662609481e-25
"LMO2",1125.77206423373,-2.02634752775951,0.18673241739666,-10.8516108558436,1.95941247049998e-27,2.11769994778555e-25
"IL2RG",154.01806028755,3.66989129318835,0.338500701171151,10.8416061783364,2.1859899984744e-27,2.34843392590594e-25
"CTSC",909.788109793428,-1.62976935653866,0.150529195802469,-10.8269319307154,2.56609641295854e-27,2.74037712767198e-25
"CD55",271.848376820664,1.73921278769667,0.160651513237709,10.8259969211945,2.59242475073972e-27,2.75211197946871e-25
