"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GMPPB",755.083143247133,-0.720840254541288,0.160341953262203,-4.49564346620198,6.93598731104574e-06,0.000954314067226312
"KRT81",1458.69019948533,-1.79293750828501,0.39928561731987,-4.49036336525159,7.11017734698547e-06,0.000969222508354816
"NT5E",1614.94563524233,-0.876070846639473,0.195743893674034,-4.4755973236047,7.61979786593459e-06,0.00102916205671825
"FGD5",3817.78190313563,1.37349979769476,0.307347959923664,4.46887559636281,7.86318435017365e-06,0.00104289909912844
"SLC2A3",60807.6170316158,-0.540105700581929,0.120831920717934,-4.46989253644933,7.82589076771453e-06,0.00104289909912844
"DKK1",330.464308364376,-1.34954565309012,0.30242687926199,-4.4623865986496,8.10518247356042e-06,0.00106539728906925
"GULP1",708.971115113134,-1.12009714550007,0.252249604071846,-4.44043172880874,8.97785838641688e-06,0.00116966399260911
"HPCAL4",84.5486666697723,-1.57426283483215,0.35549011534018,-4.42842927805654,9.49218327573898e-06,0.00122582387881956
"PPME1",15402.1927411214,-0.832246376030157,0.188174450499653,-4.42273844201655,9.74576983021375e-06,0.00124685397078955
"TOB1",1096.81131688649,-0.867633211945631,0.196252607288381,-4.42100221716137,9.8244165610371e-06,0.00124685397078955
"MAFF",856.463962324283,-0.75946724945913,0.171925744181793,-4.41741434986069,9.98886320694704e-06,0.00125688926609123
"NET1",4908.09294104535,0.434352506078295,0.0984807208878515,4.4105333730541,1.03116311633447e-05,0.00128650706768442
"ADAMTSL2",609.82190323374,0.870289620182164,0.197830740829462,4.39916272129006,1.08669324419183e-05,0.00134439478495732
"TNC",982.041117651993,2.05148749226917,0.468085146968188,4.38272289893572,1.17205149904494e-05,0.00143791184741163
"STX1A",352.639617820808,-0.84066328911554,0.192160313678889,-4.37480181532351,1.21542851650436e-05,0.00147880484462621
"EMP1",3753.93212955476,-0.702192770921732,0.160844150862533,-4.36567178325228,1.26732657285249e-05,0.00152930998406019
"PLOD1",3943.8626245197,0.521780563173752,0.120110249010325,4.34418018006856,1.39796742703491e-05,0.00166097949529749
"DDIT3",1071.6231950843,-1.77463015490001,0.408522805655568,-4.34401734819237,1.39900460139172e-05,0.00166097949529749
"INHBB",601.411085940487,-0.950810880213234,0.219085025007648,-4.33991725440861,1.4253637771878e-05,0.0016787364422207
"FSCN1",1839.33048095521,0.884744911188419,0.204267553713873,4.33130418954213,1.48228732943879e-05,0.00173192333841252
"UNC13D",3588.27118505833,-0.640462196910437,0.14795488765606,-4.32876674138183,1.49946644136067e-05,0.00173820038974109
"SORCS2",111.346533090618,2.12612300491623,0.491974419240203,4.32161291678493,1.54892749002666e-05,0.00178150863345098
"LOXL4",3503.78628239274,-0.661239829726863,0.1531816875567,-4.31670286620981,1.58377123523573e-05,0.00180746357559228
"TNFRSF1B",4298.88175265989,0.476849353399209,0.111029293454114,4.29480669978575,1.74845612823434e-05,0.00198005931691277
"ATP8B2",171.796875362539,-1.38388283116404,0.32264094416094,-4.28923500321066,1.79289589653372e-05,0.00201488651822667
"LFNG",547.380051884117,-0.958648619326774,0.223634695793712,-4.28667213700625,1.81369671227422e-05,0.00202282143925009
"CLIC5",222.180895892947,1.35979767736916,0.318567637171716,4.26847400270041,1.96814760173789e-05,0.00217857661599889
"FAHD2A",908.776773366039,-0.765926950016311,0.180005611333813,-4.25501707608398,2.09033061718401e-05,0.00229655577210321
"ITGA10",245.044177591414,-2.09394212678293,0.492723886721233,-4.24972724727594,2.14030974190132e-05,0.00233404740890898
"SYK",13939.2252207687,0.805108317679341,0.190053151243775,4.23622714177811,2.27306841454824e-05,0.00246059655874847
