"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ventricular septum development (GO:0003281)","1/38",0.244663142425161,0.331494114950932,0,0,3.66827101073676,5.16445950506132,"NOG"
"muscle contraction (GO:0006936)","2/129",0.245030488877665,0.331676251104368,0,0,2.14238392614716,3.01299012050162,"DYSF;CACNA1S"
"cellular response to ketone (GO:1901655)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"AQP1"
"regulation of heart rate by cardiac conduction (GO:0086091)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"KCND3"
"regulation of peptidyl-threonine phosphorylation (GO:0010799)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"CHI3L1"
"regulation of protein tyrosine kinase activity (GO:0061097)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"CASS4"
"regulation of receptor-mediated endocytosis (GO:0048259)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"DKK1"
"response to peptide (GO:1901652)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"ANXA1"
"positive regulation of intracellular transport (GO:0032388)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"EHD2"
"protein acylation (GO:0043543)","1/39",0.250225428495194,0.336151896393543,0,0,3.57155731795242,4.94801069825029,"PORCN"
"cellular response to hypoxia (GO:0071456)","2/131",0.250469360042231,0.33616245871832,0,0,2.10895482491312,2.91967645728797,"HMOX1;AQP1"
"negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"TNFAIP3"
"bone development (GO:0060348)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"CYP26B1"
"detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"CST1"
"positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"DDIT3"
"positive regulation of ossification (GO:0045778)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"CCN1"
"sulfur compound catabolic process (GO:0044273)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"CHAC1"
"synaptic vesicle exocytosis (GO:0016079)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"SYT1"
"positive regulation of wound healing (GO:0090303)","1/40",0.255747030561103,0.340578099878494,0,0,3.47980330172111,4.7449431563655,"ANXA1"
"regulation of cell adhesion (GO:0030155)","2/133",0.25591191493679,0.340578099878494,0,0,2.07654645959463,2.83017080394706,"PKHD1;CCR7"
"acylglycerol metabolic process (GO:0006639)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"MGLL"
"regulation of cell development (GO:0060284)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"SIGLEC15"
"regulation of filopodium assembly (GO:0051489)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"CCR7"
