"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of complement activation (GO:0030449)","1/50",0.33445521951201,0.434660368776413,0,0,2.50842945874002,2.74736308712605,"CD55"
"chloride transmembrane transport (GO:1902476)","1/50",0.33445521951201,0.434660368776413,0,0,2.50842945874002,2.74736308712605,"ANO2"
"positive regulation of cell morphogenesis involved in differentiation (GO:0010770)","1/50",0.33445521951201,0.434660368776413,0,0,2.50842945874002,2.74736308712605,"LIMS2"
"negative regulation of protein ubiquitination (GO:0031397)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"TNFAIP3"
"negative regulation of transport (GO:0051051)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"DYSF"
"DNA duplex unwinding (GO:0032508)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"ANXA1"
"regulation of substrate adhesion-dependent cell spreading (GO:1900024)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"LIMS2"
"positive regulation of fat cell differentiation (GO:0045600)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"ZFP36"
"gonad development (GO:0008406)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"INHBA"
"inositol lipid-mediated signaling (GO:0048017)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"GAB2"
"sensory perception (GO:0007600)","1/51",0.339859634377971,0.438240054855805,0,0,2.45813664596273,2.65287658946546,"ALOXE3"
"regulation of cytokine production (GO:0001817)","2/150",0.343381839613522,0.441708541738477,0,0,1.66300675675676,1.7776082375512,"ANXA1;BCL6"
"cellular response to organic cyclic compound (GO:0071407)","2/150",0.343381839613522,0.441708541738477,0,0,1.66300675675676,1.7776082375512,"CDH1;AQP1"
"negative regulation of cellular biosynthetic process (GO:0031327)","1/52",0.34522043246983,0.441708541738477,0,0,2.40981610035318,2.56301324586353,"TRIB3"
"amide biosynthetic process (GO:0043604)","1/52",0.34522043246983,0.441708541738477,0,0,2.40981610035318,2.56301324586353,"ALOXE3"
"negative regulation of protein metabolic process (GO:0051248)","1/52",0.34522043246983,0.441708541738477,0,0,2.40981610035318,2.56301324586353,"INHBB"
